operator,origin_airport,destination_airport,airline,flight_number,aircraft_type,origin_time,origin_day_difference,destination_time,destination_day_difference,calendar,is_valid_from,is_valid_to,note_ja,date
,HAC,青ヶ島,THK,11,,09:20,,09:40,,日月火水木金土,,,,2022-05-28
,青ヶ島,HAC,THK,12,,09:45,,10:05,,日月火水木金土,,,,2022-05-28
,HAC,御蔵島,THK,21,,10:25,,10:50,,日月火水木金土,,,,2022-05-28
,御蔵島,MYE,THK,31,,10:55,,11:05,,日月火水木金土,,,,2022-05-28
,MYE,OIM,THK,51,,11:10,,11:30,,日月火水木金土,,,,2022-05-28
,OIM,利島,THK,61,,11:50,,12:00,,日月火水木金土,,,,2022-05-28
,利島,OIM,THK,62,,12:05,,12:15,,日月火水木金土,,,,2022-05-28
,OIM,MYE,THK,52,,14:55,,15:15,,日月火水木金土,,,,2022-05-28
,MYE,御蔵島,THK,32,,15:20,,15:30,,日月火水木金土,,,,2022-05-28
,御蔵島,HAC,THK,22,,15:35,,16:00,,日月火水木金土,,,,2022-05-28
,NRT,CTS,SJO,IJ831,,07:20,,09:05,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,NRT,CTS,SJO,IJ833,,15:00,,16:55,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,NRT,SJO,IJ832,,09:50,,11:30,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,CTS,NRT,SJO,IJ834,,17:40,,19:20,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,NRT,HIJ,SJO,IJ621,,09:25,,11:10,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,NRT,HIJ,SJO,IJ623,,17:30,,19:15,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,5/9-31・6/1-30の月火水木金は運休,2022-05-28
,HIJ,NRT,SJO,IJ622,,11:55,,13:25,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HIJ,NRT,SJO,IJ624,,20:05,,21:35,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,5/9-31・6/1-30の月火水木金は運休,2022-05-28
,NRT,HSG,SJO,IJ701,,08:55,,11:20,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,5/9-31・6/1-30の月火水木は運休,2022-05-28
,HSG,NRT,SJO,IJ702,,13:40,,15:30,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-10-29T23:59:59+09:00,5/9-31・6/1-30の月火水木は運休,2022-05-28
,調布,OIM,CUK,101,Do,09:00,,09:25,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,調布,OIM,CUK,105,Do,15:30,,15:55,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,OIM,調布,CUK,102,Do,09:50,,10:15,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,OIM,調布,CUK,106,Do,16:20,,16:45,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,調布,OIM,CUK,103,Do,10:35,,11:00,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,OIM,CUK,105,Do,13:10,,13:35,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OIM,調布,CUK,104,Do,11:25,,11:50,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OIM,調布,CUK,106,Do,14:00,,14:25,,　　火　　　　,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,新島,CUK,201,Do,08:30,,09:10,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,調布,新島,CUK,203,Do,10:35,,11:15,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,調布,新島,CUK,205,Do,13:20,,14:00,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,6/7・14・21・28運休,2022-05-28
,調布,新島,CUK,207,Do,15:05,,15:45,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,新島,調布,CUK,202,Do,09:35,,10:15,,日月火水木金土,2022-05-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
