airline,origin_airport,destination_airport
RAC,OKA,ASJ
RAC,OKA,RNJ
RAC,OKA,KTD
RAC,OKA,MMD
RAC,OKA,UEO
RAC,OKA,MMY
RAC,OKA,ISG
RAC,OKA,OGN
RAC,KTD,MMD
RAC,MMY,TRA
RAC,MMY,ISG
RAC,ISG,OGN
SKY,HND,CTS
SKY,HND,UKB
SKY,HND,FUK
SKY,HND,NGS
SKY,HND,KOJ
SKY,HND,OKA
SKY,HND,SHI
SKY,CTS,IBR
SKY,CTS,NGO
SKY,CTS,UKB
SKY,CTS,FUK
SKY,SDJ,UKB
SKY,IBR,UKB
SKY,IBR,FUK
SKY,IBR,OKA
SKY,NGO,KOJ
SKY,NGO,OKA
SKY,UKB,NGS
SKY,UKB,KOJ
SKY,UKB,OKA
SKY,UKB,SHI
SKY,FUK,OKA
SKY,KOJ,ASJ
SKY,OKA,SHI
APJ,KIX,CTS
APJ,KIX,MMB
APJ,KIX,KUH
APJ,KIX,SDJ
APJ,KIX,KIJ
APJ,KIX,NRT
APJ,KIX,FUK
APJ,KIX,NGS
APJ,KIX,KMI
APJ,KIX,KOJ
APJ,KIX,ASJ
APJ,KIX,OKA
APJ,KIX,ISG
APJ,NRT,CTS
APJ,NRT,KUH
APJ,NRT,MMB
APJ,NRT,FUK
APJ,NRT,NGS
APJ,NRT,KMI
APJ,NRT,OIT
APJ,NRT,ASJ
APJ,NRT,OKA
APJ,NRT,ISG
APJ,CTS,OKA
APJ,FUK,CTS
APJ,FUK,OKA
APJ,FUK,ISG
APJ,SDJ,CTS
APJ,SDJ,OKA
APJ,NGO,CTS
APJ,NGO,SDJ
APJ,NGO,OKA
APJ,NGO,ISG
JJP,NRT,KIX
JJP,NRT,CTS
JJP,NRT,FUK
JJP,NRT,OKA
JJP,NRT,OIT
JJP,NRT,KOJ
JJP,NRT,KMJ
JJP,NRT,KMI
JJP,NRT,NGS
JJP,NRT,SHI
JJP,NRT,MYJ
JJP,NRT,TAK
JJP,NRT,KCZ
JJP,KIX,NRT
JJP,KIX,CTS
JJP,KIX,OKA
JJP,NGO,FUK
JJP,NGO,OKA
FDA,CTS,GAJ
FDA,CTS,MMJ
FDA,CTS,FSZ
FDA,OKD,MMJ
FDA,OKD,FSZ
FDA,AOJ,NKM
FDA,AOJ,UKB
FDA,HNA,NKM
FDA,HNA,UKB
FDA,GAJ,NKM
FDA,SDJ,IZO
FDA,KIJ,NKM
FDA,KIJ,UKB
FDA,KIJ,FUK
FDA,MMJ,UKB
FDA,MMJ,FUK
FDA,FSZ,IZO
FDA,FSZ,FUK
FDA,FSZ,KMJ
FDA,FSZ,KOJ
FDA,NKM,IZO
FDA,NKM,KCZ
FDA,NKM,FUK
FDA,NKM,KMJ
FDA,UKB,KCZ
CUK,調布,OIM
CUK,調布,新島
CUK,調布,神津島
CUK,調布,MYE
AHX,AXJ,FUK
AHX,AXJ,KMJ
AHX,KMJ,ITM
THK,HAC,青ヶ島
THK,HAC,御蔵島
THK,御蔵島,MYE
THK,OIM,MYE
THK,OIM,利島
SJO,NRT,CTS
SJO,NRT,HIJ
SJO,NRT,HSG
