"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"ANA","AKJ","HND","ADO","HD082/NH4782","763","09:15",,"11:00",,"日　火　木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","AKJ","HND","ADO","HD082/NH4782","763/73D","09:15",,"11:00",,"　月　水　　　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AKJ","HND","JAL","JL552","767","10:05",,"11:55",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分早発(到着は同時刻)","2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL552","767","10:05",,"11:55",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL552","767","10:10",,"11:55",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","AKJ","HND","ADO","HD084/NH4784","763","13:25",,"15:10",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AKJ","HND","JAL","JL554","767","13:35",,"15:25",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL554","767","13:35",,"15:25",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL554","767","13:40",,"15:25",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL556","767","16:25",,"18:10",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL556","767","16:25",,"18:15",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL556","767","16:35",,"18:25",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","AKJ","HND","ADO","HD088/NH4788","763/73D","19:30",,"21:15",,"　　　水　　　","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","AKJ","HND","ADO","HD088/NH4788","763","19:30",,"21:15",,"日月火　木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AKJ","HND","JAL","JL558","767","20:15",,"22:00",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分早発(到着は同時刻)","2022-08-04T13:00:00+09:00"
"JAL","AKJ","HND","JAL","JL558","767","20:15",,"22:00",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AKJ","ITM","JAL","JL2112","738","09:45",,"11:45",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","AKJ","NGO","ANA","NH326","73H","11:20",,"13:20",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","AKJ","NGO","ANA","NH326","73H","11:25",,"13:20",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","AOJ","CTS","ANA","NH1897","Q4A","12:05",,"12:55",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AOJ","CTS","JAL","JL2804","E70","12:15",,"13:05",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","CTS","JAL","JL2806","E70","14:20",,"15:10",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","AOJ","CTS","ANA","NH1899","Q4A","16:10",,"17:00",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AOJ","CTS","JAL","JL2810","E70","20:30",,"21:15",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00","8/1-31・10分遅発","2022-08-04T13:00:00+09:00"
"JAL","AOJ","CTS","JAL","JL2810","E70","20:30",,"21:15",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","CTS","JAL","JL2810","E70","20:35",,"21:20",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL140","738","07:35",,"08:55",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL140","738","07:35",,"08:55",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL140","738","07:40",,"08:55",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL142",,"09:50",,"11:10",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL144","738","11:55",,"13:15",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL144","738","12:05",,"13:25",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00","8/1-31・10分早発","2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL144","738","12:05",,"13:25",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL146","738","15:10",,"16:30",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL146","738","15:10",,"16:30",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・10分遅発","2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL146","738","15:15",,"16:30",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL148","738","17:30",,"18:50",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL150","738","20:20",,"21:40",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","HND","JAL","JL150",,"20:25",,"21:45",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","AOJ","ITM","ANA","NH1852","Q4A","08:05",,"10:00",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AOJ","ITM","JAL","JL2152","E90","09:55",,"11:25",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00","8/1-31・10分遅発","2022-08-04T13:00:00+09:00"
"JAL","AOJ","ITM","JAL","JL2152","E90","09:55",,"11:30",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","AOJ","ITM","JAL","JL2152","E90","10:05",,"11:40",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分早発(到着は同時刻)","2022-08-04T13:00:00+09:00"
"ANA","AOJ","ITM","ANA","NH1854","Q4A","12:55",,"14:50",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","AOJ","ITM","JAL","JL2154","E90","13:35",,"15:05",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00","8/1-31・10分遅発","2022-08-04T13:00:00+09:00"
